X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0179002882544,38.8767047831638,28694723,38.876697,-77.017898,4th & M St SW,classic,22,active,2021/11/02 15:52:08+00,16,0,5,1,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0344292953915,38.9098087885209,28694724,38.909801,-77.034427,15th & P St NW,classic,23,active,2021/11/02 16:02:55+00,8,0,9,1,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0320102944616,38.9130537893427,28694725,38.913046,-77.032008,14th & R St NW,classic,24,active,2021/11/02 15:37:50+00,11,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.032302294264,38.9086077889194,28694726,38.9086,-77.0323,14th & Rhode Island Ave NW,classic,25,active,2021/11/02 16:00:15+00,5,0,18,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0450022970883,38.8963077857035,28694727,38.8963,-77.045,20th & E St NW,classic,26,active,2021/11/02 15:53:57+00,3,0,12,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.04645129759,38.9007187863238,28694728,38.900711,-77.046449,21st & I St NW,classic,27,active,2021/11/02 16:06:22+00,2,0,32,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,35,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0241832933893,38.9366917950278,28694729,38.936684,-77.024181,Georgia & New Hampshire Ave NW,classic,28,active,2021/11/02 15:47:15+00,8,0,3,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0328022960404,38.9375077942327,28694730,38.9375,-77.0328,14th St & Spring Rd NW,classic,29,active,2021/11/02 15:27:49+00,6,0,12,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-76.9955022837563,38.9346077954385,28694731,38.9346,-76.9955,John McCormack Dr & Michigan Ave NE,classic,30,active,2021/11/02 15:46:18+00,6,0,5,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.019029290048,38.9030477877252,28694732,38.90304,-77.019027,5th & K St NW,classic,31,active,2021/11/02 15:57:53+00,11,0,5,1,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-76.9769022755757,38.889607786517,28694733,38.8896,-76.9769,19th & East Capitol St SE,classic,32,active,2021/11/02 13:30:32+00,8,0,6,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0315022951693,38.9308077932707,28694734,38.9308,-77.0315,Park Rd & Holmead Pl NW,classic,33,active,2021/11/02 15:30:24+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-76.9691862712486,38.8616707817042,28694735,38.861663,-76.969184,Good Hope & Naylor Rd SE,classic,34,active,2021/11/02 04:57:14+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0579813042288,38.934274792859,28694736,38.934267,-77.057979,Connecticut Ave & Newark St NW / Cleveland Park,classic,35,active,2021/11/02 16:04:36+00,1,0,9,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-76.9607022704313,38.8780077851004,28694737,38.878,-76.9607,Randle Circle & Minnesota Ave SE,classic,36,active,2021/11/02 04:56:52+00,3,0,7,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-76.9474482670777,38.8970707895964,28694738,38.897063,-76.947446,Minnesota Ave Metro/DOES,classic,37,active,2021/11/02 04:06:10+00,9,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-76.9418792657378,38.9013927903953,28694739,38.901385,-76.941877,Nannie Helen Burroughs & Minnesota Ave NE,classic,38,active,2021/11/02 12:37:19+00,1,0,9,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-76.9880412779697,38.8673807817059,28694740,38.867373,-76.988039,Good Hope Rd & MLK Ave SE,classic,40,active,2021/11/02 16:06:26+00,7,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0436022963008,38.895207785953,28694741,38.8952,-77.0436,19th & E Street NW,classic,41,active,2021/11/02 16:03:12+00,7,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0006502849956,38.9190847923507,28694742,38.919077,-77.000648,4th & W St NE,classic,42,active,2021/11/02 14:02:00+00,14,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0259022931643,38.9172077910495,28694743,38.9172,-77.0259,10th & U St NW,classic,43,active,2021/11/02 15:36:31+00,14,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0222022921044,38.9249077923453,28694744,38.9249,-77.0222,Georgia Ave and Fairmont St NW,classic,44,active,2021/11/02 13:42:00+00,11,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.005702284184,38.8743077829029,28694745,38.8743,-77.0057,1st & N St SE,classic,45,active,2021/11/02 13:58:58+00,10,0,28,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,39,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
